"img-link href","photo-count","list-view-price","list-view-date","list-view-title","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","eids-badge__description","eids-badge__label","he-lazy-image src 2","listing-card--owner-info__name","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-sariyer-huzur-kiralik/daire/43996-22764","32","41.000","07-03-2025","Cadde  Üzeri   Konum Net   Metro 20 Adım  Etfal  Hastane  500mt Eşyalı Veya Boş","Kiralık Daire","2 +
                          1","100 m²","Sıfır Bina","2. Kat","İstanbul / Sarıyer / Huzur Mah.","https://www.hepsiemlak.com/emlak-ofisi/koyuyesil-gayrimenkul-43996","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/9/3/4/0/02ce2d4e-2c72-45ba-a342-523e626df812.jpg","Koyuyeşil Gayrimenkul","","","","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-aziz-mahmut-hudayi-kiralik/daire/51556-4142","59","32.000","14-03-2025","Doğancılar'da Yenilenmiş Temiz, Kombili Ve Kapalı Balkonlu Kiralık Daire","Kiralık Daire","3 +
                          1","80 m²","45
                        Yaşında","2. Kat","İstanbul / Üsküdar / Aziz Mahmut Hüdayi Mah.","https://www.hepsiemlak.com/emlak-ofisi/cadde-divan-gayrimenkul-51556","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Cadde Divan Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/5/1/5/0/9e22414c-a742-411d-90cd-3797c9ab1686.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-acibadem-kiralik/daire/41351-506","27","47.000","08-03-2025","Ayrılıkçeşme Metro Ve Marmaray 5dk. Yeni Binada 2+1 Masrafsız","Kiralık Daire","2 +
                          1","110 m²","3
                        Yaşında","3. Kat","İstanbul / Kadıköy / Acıbadem Mah.","https://www.hepsiemlak.com/emlak-ofisi/bir-emlak-41351/bir-emlak-808304","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/0/3/8/0/8/671f3825-6832-4e2e-9ddf-ac8c11fcbe7a.jpg","Bir Emlak","","","","Bir
        Emlak","",""
"https://www.hepsiemlak.com/istanbul-beykoz-goztepe-kiralik/daire/49560-303","16","18.000","13-03-2025","Anadoluhisarı Göztepe Mahallesi Tek Kişilik Bayan Apart Oda","Kiralık Daire","3 +
                          1","130 m²","25
                        Yaşında","3. Kat","İstanbul / Beykoz / Göztepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/merkez-emlak-49560/munir-guldal-936257","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/5/5/1/3/9/3/4/43c83fb8-36ae-4811-9db6-db8dce31d96b.jpg","Merkez Emlak","","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/5/2/6/3/9/dbbf4c19-7e94-4e56-ae2e-13c4f410dafc.jpg","Münir
        Güldal","https://www.hepsiemlak.com/emlak-ofisi/merkez-emlak-49560","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/6/5/9/4/0/87335808-4745-4019-a437-d5bd26bf3e38.jpg"
"https://www.hepsiemlak.com/istanbul-sariyer-rumeli-kavagi-kiralik/daire/11217-9277","24","50.000","13-03-2025","Sarıyer Rumelikavağı Mahallesinde Deniz Manzaralık Kiralık Daire","Kiralık Daire","4 +
                          1","160 m²","49
                        Yaşında","3. Kat","İstanbul / Sarıyer / Rumeli Kavağı Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-ahenk-11217","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/3/1/5/6/5/3/4/0afa8324-2a4d-4139-ac9f-647f25af2351.jpg","Remax Ahenk","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/1/2/1/1/0/9a295213-cfd1-49d3-ae6a-7e2ae3253c81.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/daire/11217-9536","27","95.000","13-03-2025","Zekerıyaköy'de Hoş Bır Yaşam Sürmek Istıyorsanız Bu Ev Tam Sıze Göre","Kiralık Daire","4 +
                          1","300 m²","10
                        Yaşında","En Üst Kat","İstanbul / Sarıyer / Zekeriyaköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-ahenk-11217","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/1/5/8/0/3/4/4/e7242354-8c62-42c6-80cd-d8767dc1d3fd.jpg","Remax Ahenk","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/1/2/1/1/0/9a295213-cfd1-49d3-ae6a-7e2ae3253c81.jpg","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/98015-2156","33","125.000","13-03-2025","Nişantaşı Koru Dap Kiralık 1+1 Eşyalı Sıfır Daire","Kiralık Residence","1 +
                          1","100 m²","Sıfır Bina","8. Kat","İstanbul / Şişli / Teşvikiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015/gulcin-gonul-2068637","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/2/2/2/2/3/4/4/ace48570-a223-4dce-828b-5317f29ce955.jpg","Artistanbul Gayrimenkul Zorlu Center","","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/6/8/6/0/2/6bf57ef1-96dd-4954-a46c-ba149eff3f18.jpg","Gülçin
        Gönül","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/0/8/9/0/b6a73031-63c7-40f7-9a17-a85e62592e9e.jpg"
"https://www.hepsiemlak.com/istanbul-basaksehir-ziya-gokalp-kiralik/daire/153589-5","13","35.000","31-12-2024","Mall Of İstanbul Eşyalı Kiralık 1+1 Panoramik Rezidans Daire","Kiralık Daire","1 +
                          1","90 m²","5
                        Yaşında","10. Kat","İstanbul / Başakşehir / Ziya Gökalp Mah.","https://www.hepsiemlak.com/emlak-ofisi/aldalil-gayrimenkul-mall-of-istanbul-153589","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/5/7/4/4/9/3/4/759dfc62-7a20-4a0f-9d0b-d001342159d2.jpeg","Aldalil Gayrimenkul Mall Of İstanbul","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/8/5/3/5/1/4438b834-e42a-4c9f-a55b-1275b57093dc.jpg","","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-basaksehir-kiralik/residence/153589-20","22","25.000","31-12-2024","3.İstanbul 1+1 Eşyalı Kiralık Daire","Kiralık Residence","1 +
                          1","75 m²","1
                        Yaşında","7. Kat","İstanbul / Başakşehir / Başakşehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/aldalil-gayrimenkul-mall-of-istanbul-153589","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/6/8/4/4/9/3/4/366d8846-77da-4d0e-8774-2ce73bb2b25f.jpeg","Aldalil Gayrimenkul Mall Of İstanbul","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/8/5/3/5/1/4438b834-e42a-4c9f-a55b-1275b57093dc.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/residence/30832-9497","19","55.000","10-02-2025","Yb Gm'den Maslak Mashattan Kiralık 1+1 Mobilyalı Daire -Güncel-","Kiralık Residence","1 +
                          1","85 m²","11
                        Yaşında","13. Kat","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/yb-gayrimenkul-danismanlik-hizmetleri-ltd-30832","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/4/2/7/6/1/4/4/3fc99965-f8d8-46c3-ac53-143ffdfb4ca7.jpg","Yb Gayrimenkul Danışmanlık Hizmetleri LTD.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/8/0/3/0/fc248201-c4db-4a02-9fbf-19ce1cf1dca6.jpg","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
